Booking_ID,Trip_Date,Year,Quarter,Month,Month_Name,Day_Of_Week,Is_Weekend,Carrier,Customer,Vehicle_No,Vehicle_Type_Clean,Vehicle_Category,Origin_City,Origin_State,Destination_City,Destination_State,GPS_Provider,Market_Type,Distance_KM,Planned_Transit_Hours,Actual_Transit_Hours,Delay_Hours,On_Time_Flag,Has_Missing_Distance,Has_Missing_Vehicle_Type
VCV00011610/082021,2020-08-24,2020,3,8,August,Monday,0,Bally Logistics & Warehousing Private Limited,Wabco India Ltd,TN13K3588,20 FT CLOSE 7MT-MCV,MCV,CHENNAI,TAMIL NADU,HOSUR,TAMIL NADU,BALLY LOGISTICS,Regular,325.0,100.01067305555556,6.610399999999999,-93.40027305555556,1.0,0,1
VCV00011611/082021,2020-08-24,2020,3,8,August,Monday,0,Bally Logistics & Warehousing Private Limited,Wabco India Ltd,TN13K3804,20 FT CLOSE 7MT-MCV,MCV,CHENNAI,TAMIL NADU,HOSUR,TAMIL NADU,BALLY LOGISTICS,Regular,325.0,100.01041583333333,6.929897222222222,-93.08051861111112,1.0,0,1
VCV00011309/082021,2020-08-24,2020,3,8,August,Monday,0,Eswar Transport,Daimler India Commercial Vehicles Pvt Lt,TN887661,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,3.0,100.01503972222221,7.869433333333333,-92.1456063888889,1.0,0,1
AEIBK2026511,2020-08-19,2020,3,8,August,Wednesday,0,Imprints Infrastucture And Logistics Ltd.,Ericsson India Private Limited,MH12QW5517,32 FT Single-Axle 7MT - HCV,HCV,Pune,Maharashtra,Tiruvallur,Tamil Nadu,CONSENT TRACK,Regular,1175.0,69.23527777777778,117.93562777777778,48.70035,0.0,0,0
VCV00011095/082021,2020-08-22,2020,3,8,August,Saturday,1,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN88A8569,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,20.0,100.01178138888889,60.6501175,-39.361663888888884,1.0,0,1
VCV00011509/082021,2020-08-24,2020,3,8,August,Monday,0,Ctc Translogistic Pvt Ltd,Jay Bharat Maruti Limited,HR47C3126,32 FT Single-Axle 7MT - HCV,HCV,GURGAON,HARYANA,AHMEDABAD,GUJARAT,CONSENT TRACK,Regular,950.0,100.02110472222222,2.028284166666667,-97.99282055555555,1.0,0,1
VCV00010798/082021,2020-08-21,2020,3,8,August,Friday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BB0534,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,103.0,100.01335083333333,75.07830638888889,-24.935044444444447,1.0,0,1
AEIBK2026495,2020-08-24,2020,3,8,August,Monday,0,Oms Logistics Pvt Ltd,Tvs Motor Company Limited,NL01AE2573,20 FT CLOSE 7MT-MCV,MCV,Pune,Maharashtra,Krishnagiri,Tamil Nadu,CONSENT TRACK,Regular,980.0,-19.224166666666665,6.462103611111111,25.68627027777778,0.0,0,0
AEIBK2026224,2020-08-18,2020,3,8,August,Tuesday,0,Ekta Transport Company,Ford India Private Limited,HR47C4939,32 FT Multi-Axle 14MT - HCV,HCV,Kanchipuram,Tamil Nadu,Gurgaon,Haryana,EKTA,Regular,2240.0,81.05444444444444,153.0569258333333,72.00248138888888,0.0,0,0
VCV00010100/082021,2020-08-20,2020,3,8,August,Thursday,0,Vinayaka Roadlines,Ashok Leyland Limited,TN23L2017,,Unknown,HOSUR,TAMIL NADU,CHENNAI,TAMIL NADU,CONSENT TRACK,Regular,350.0,100.01450277777778,100.76861944444445,0.7541166666666667,0.0,0,1
VCV00011094/082021,2020-08-22,2020,3,8,August,Saturday,1,Eswar Transport,Daimler India Commercial Vehicles Pvt Lt,TN88D1410,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,940.0,100.01180833333333,60.194986944444445,-39.81682138888889,1.0,0,1
VCV00011308/082021,2020-08-24,2020,3,8,August,Monday,0,Krc Logistics,Daimler India Commercial Vehicles Pvt Lt,TN11J6678,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,KRC LOGISTICS,Regular,21.0,100.0134675,8.142838888888889,-91.8706286111111,1.0,0,1
VCV00011520/082021,2020-08-24,2020,3,8,August,Monday,0,Namakkal Sri Anjinaya Transport,Daimler India Commercial Vehicles Pvt Lt,TN88D4133,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,20.0,100.00984722222222,1.1049369444444446,-98.90491027777779,1.0,0,1
AEIBK2026392,2020-08-18,2020,3,8,August,Tuesday,0,Sree Sairam Logistics,Tvs Srichakra Limited,TN59CE2657,24 FT SXL Container,Container,Madurai,Tamil Nadu,Mysore,Karnataka,CONSENT TRACK,Regular,525.0,91.47666666666667,146.61652222222222,55.139855555555556,0.0,0,0
VCV00011084/082021,2020-08-22,2020,3,8,August,Saturday,1,Namakkal Sri Anjinaya Transport,Daimler India Commercial Vehicles Pvt Lt,TN88D3900,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,3.0,100.01853972222223,60.85762027777778,-39.160919444444446,1.0,0,1
VCV00011539/082021,2020-08-24,2020,3,8,August,Monday,0,Krishna Transport,Ashok Leyland Limited,TN20BS8311,,Unknown,CHENNAI,TAMIL NADU,CHENNAI,TAMIL NADU,NIMBLE,Regular,265.0,100.01414916666666,0.1289425,-99.88520666666666,1.0,0,1
AEIBK2025871,2020-08-24,2020,3,8,August,Monday,0,Krc Logistics,Brakes India Private Ltd,TN14T6099,32 FT Multi-Axle 14MT - HCV,HCV,Kanchipuram,Tamil Nadu,Pune,Maharashtra,KRC LOGISTICS,Regular,1199.0,-159.13055555555556,13.169504722222221,172.30006027777776,0.0,0,0
AEIBK2026244,2020-08-17,2020,3,8,August,Monday,0,R.Sai Logistics India Pvt.Ltd,Daimler India Commercial Vehicles Pvt Lt,HR55AJ9628,32 FT Multi-Axle MXL 18MT,Other,Gurgaon,Haryana,Kanchipuram,Tamil Nadu,CONSENT TRACK,Regular,2400.0,99.39972222222222,167.69569638888888,68.29597416666667,0.0,0,0
VCV00011028/082021,2020-08-21,2020,3,8,August,Friday,0,Daiwan Devidas Kadam,Flyjac Logistics Pvt Ltd,MH12FZ3608,17 FT Open 5MT - MCV,MCV,PUNE,MAHARASHTRA,PUNE,MAHARASHTRA,VAMOSYS,Regular,250.0,100.00491944444445,66.06892138888888,-33.93599805555555,1.0,0,1
AEIBK2026819,2020-08-21,2020,3,8,August,Friday,0,Apace Transco Pvt. Ltd.,Ford India Private Limited,NL02L7746,32 FT Multi-Axle 14MT - HCV,HCV,Gurgaon,Haryana,Ahmedabad,Gujarat,APACE_TRANSCO,Regular,1000.0,98.51138888888889,75.14887027777779,-23.36251861111111,1.0,0,0
VCV00010836/082021,2020-08-21,2020,3,8,August,Friday,0,Eswar Transport,Daimler India Commercial Vehicles Pvt Lt,TN88D8267,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,940.0,100.0105638888889,76.23224444444445,-23.778319444444442,1.0,0,1
VCV00011307/082021,2020-08-24,2020,3,8,August,Monday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN28AQ0975,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,21.0,100.01442694444444,6.145594444444444,-93.86883250000001,1.0,0,1
MVCV0001298/082021,2020-08-22,2020,3,8,August,Saturday,1,A.V.Transports,Ashok Leyland Limited,KA27A4080,,Unknown,CHENNAI,TAMIL NADU,HOSUR,KARNATAKA,CONSENT TRACK,Market,310.0,100.0,53.86875833333333,-46.13124166666667,1.0,0,1
VCV00011090/082021,2020-08-22,2020,3,8,August,Saturday,1,Susee Transporter,Daimler India Commercial Vehicles Pvt Lt,TN12AC0599,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,69.0,100.02723611111111,58.237157499999995,-41.79007861111111,1.0,0,1
VCV00011091/082021,2020-08-22,2020,3,8,August,Saturday,1,Ragul Transport,Daimler India Commercial Vehicles Pvt Lt,TN19AL2181,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,3.0,100.01144805555555,58.188045277777775,-41.82340277777778,1.0,0,1
VCV00011482/082021,2020-08-24,2020,3,8,August,Monday,0,The Gurawalia Transport Co,National Engg.Ind.Ltd.,HR55W0371,,Unknown,JAIPUR,RAJASTHAN,JAIPUR,RAJASTHAN,WABCOTRANS,Regular,50.0,100.05121305555556,1.8019166666666666,-98.2492963888889,1.0,0,1
AEIBK2026883,2020-08-24,2020,3,8,August,Monday,0,New Chennai Royal Transport,Ashok Leyland Limited,TN73F4927,1 MT Tata Ace (Open Body),Other,Tiruvallur,Tamil Nadu,Krishnagiri,Tamil Nadu,BEECON,Regular,535.0,31.04222222222222,0.7356063888888889,-30.306615833333332,1.0,0,0
AEIBK2026345,2020-08-19,2020,3,8,August,Wednesday,0,Friends Transport,Ford India Private Limited,TN54K7999,32 FT Multi-Axle 14MT - HCV,HCV,Ahmedabad,Gujarat,Kanchipuram,Tamil Nadu,GARUDA,Regular,1900.0,80.04833333333333,126.01677027777778,45.96843694444444,0.0,0,0
AEIBK2026512,2020-08-19,2020,3,8,August,Wednesday,0,Imprints Infrastucture And Logistics Ltd.,Ericsson India Private Limited,MH12LT9884,32 FT Single-Axle 7MT - HCV,HCV,Pune,Maharashtra,Tiruvallur,Tamil Nadu,CONSENT TRACK,Regular,1175.0,65.13888888888889,110.81888055555555,45.679991666666666,0.0,0,0
VCV00011471/082021,2020-08-24,2020,3,8,August,Monday,0,The Gurawalia Transport Co,National Engg.Ind.Ltd.,HR55W0371,,Unknown,JAIPUR,RAJASTHAN,JAIPUR,RAJASTHAN,WABCOTRANS,Regular,50.0,100.05416388888888,1.7619602777777776,-98.29220361111112,1.0,0,1
AEIBK2026889,2020-08-24,2020,3,8,August,Monday,0,Vijay Transport,Ashok Leyland Limited,KA409852,1 MT Tata Ace (Closed Body),Other,Tiruvallur,Tamil Nadu,Krishnagiri,Tamil Nadu,CONSENT TRACK,Regular,535.0,31.698333333333334,0.6999063888888889,-30.998426944444443,1.0,0,0
AEIBK2027015,2020-08-24,2020,3,8,August,Monday,0,Ekta Transport Company,Ford India Private Limited,HR47D9190,32 FT Multi-Axle 14MT - HCV,HCV,Gurgaon,Haryana,Ahmedabad,Gujarat,EKTA,Regular,1000.0,53.185,4.845497222222223,-48.339502777777774,1.0,0,0
VCV00011065/082021,2020-08-21,2020,3,8,August,Friday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BB1036,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,21.0,100.01209444444444,61.759975833333336,-38.252118611111115,1.0,0,1
AEIBK2026584,2020-08-19,2020,3,8,August,Wednesday,0,Sterling Translogistics Private Limited,Ford India Private Limited,GJ01ET3652,32 FT Single-Axle 7MT - HCV,HCV,Kanchipuram,Tamil Nadu,Ahmedabad,Gujarat,CONSENT TRACK,Regular,1900.0,99.7063888888889,112.991775,13.28538611111111,0.0,0,0
AEIBK2026570,2020-08-20,2020,3,8,August,Thursday,0,Vijay Transport,Ashok Leyland Limited,TN70T5805,1 MT Tata Ace (Closed Body),Other,Tiruvallur,Tamil Nadu,Krishnagiri,Tamil Nadu,CONSENT TRACK,Regular,535.0,80.26194444444444,95.63061666666665,15.368672222222223,0.0,0,0
AEIBK2027146,2020-08-22,2020,3,8,August,Saturday,1,Gayathri Transport,Ashok Leyland Limited,TN40M8575,1.5 MT Pickup (Open Body),LCV,Coimbatore,Tamil Nadu,Krishnagiri,Tamil Nadu,CONSENT TRACK,Regular,400.0,139.43555555555557,40.82264638888889,-98.61290916666667,1.0,0,0
AEIBK2026764,2020-08-20,2020,3,8,August,Thursday,0,Trans Cargo India,Ford India Private Limited,HR38W0371,32 FT Multi-Axle 14MT - HCV,HCV,Kanchipuram,Tamil Nadu,Gurgaon,Haryana,CONSENT TRACK,Regular,2240.0,99.7675,128.81494166666667,29.047441666666664,0.0,0,0
VCV00010889/082021,2020-08-21,2020,3,8,August,Friday,0,Susee Transporter,Daimler India Commercial Vehicles Pvt Lt,TN12AB9253,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,104.0,100.02150750000001,69.11349361111111,-30.908013888888892,1.0,0,1
AEIBK2026867,2020-08-24,2020,3,8,August,Monday,0,Ekta Travels,Ford India Private Limited,HR55R7405,32 FT Multi-Axle 14MT - HCV,HCV,Ahmedabad,Gujarat,Gurgaon,Haryana,EKTA,Regular,900.0,32.26972222222222,2.062288888888889,-30.20743333333333,1.0,0,0
AEIBK2025868,2020-08-13,2020,3,8,August,Thursday,0,Rajdhani Roadways,Ericsson India Private Limited,UP21BN1445,32 FT Single-Axle 7MT - HCV,HCV,Pune,Maharashtra,Kamrup,Assam,CONSENT TRACK,Regular,2750.0,100.0,265.27615638888886,165.27615638888886,0.0,0,0
AEIBK2026874,2020-08-21,2020,3,8,August,Friday,0,Prem Tpt Gps,Lucas Tvs Ltd,TN52J1622,24/26 FT Taurus Open 21MT - HCV,HCV,Krishnagiri,Tamil Nadu,Tiruvallur,Tamil Nadu,PREM TRANSPORT,Regular,310.0,99.43138888888889,73.15497305555556,-26.27641583333333,1.0,0,0
VCV00010911/082021,2020-08-21,2020,3,8,August,Friday,0,Muthala Amman Transport,Daimler India Commercial Vehicles Pvt Lt,TN11S1459,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,20.0,100.01102694444444,68.13128972222222,-31.87973722222222,1.0,0,1
AEIBK2026817,2020-08-24,2020,3,8,August,Monday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN88C8141,32 FT Multi-Axle 14MT - HCV,HCV,Pune,Maharashtra,Kanchipuram,Tamil Nadu,VAMOSYS,Regular,1290.0,26.862222222222222,0.6725036111111111,-26.18971861111111,1.0,0,0
